LECROYWS454	16215	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	02-May-2024 19:33:27	0                 
Time	Ampl
-2.12249e-007	0.0006875
-2.11749e-007	6.25e-005
-2.11249e-007	-0.00025
-2.10749e-007	6.25e-005
-2.10249e-007	-0.00025
-2.09749e-007	-0.0005625
-2.09249e-007	-0.0011875
-2.08749e-007	-0.0005625
-2.08249e-007	-0.0011875
-2.07749e-007	-0.002125
-2.07249e-007	-0.0011875
-2.06749e-007	-0.0005625
-2.06249e-007	6.25e-005
-2.05749e-007	0.000375
-2.05249e-007	6.25e-005
-2.04749e-007	0.000375
-2.04249e-007	0.0006875
-2.03749e-007	0.001625
-2.03249e-007	0.0013125
-2.02749e-007	0.001
-2.02249e-007	0.0013125
-2.01749e-007	0.0006875
-2.01249e-007	6.25e-005
-2.00749e-007	6.25e-005
-2.00249e-007	6.25e-005
-1.99749e-007	-0.0005625
-1.99249e-007	-0.000875
-1.98749e-007	-0.0011875
-1.98249e-007	-0.002125
-1.97749e-007	-0.002125
-1.97249e-007	-0.0018125
-1.96749e-007	-0.0015
-1.96249e-007	-0.0005625
-1.95749e-007	-0.0005625
-1.95249e-007	6.25e-005
-1.94749e-007	0.0013125
-1.94249e-007	0.001
-1.93749e-007	0.0006875
-1.93249e-007	0.0019375
-1.92749e-007	0.001625
-1.92249e-007	0.001625
-1.91749e-007	0.001
-1.91249e-007	0.001
-1.90749e-007	0.000375
-1.90249e-007	6.25e-005
-1.89749e-007	-0.0005625
-1.89249e-007	-0.0018125
-1.88749e-007	-0.0015
-1.88249e-007	-0.0018125
-1.87749e-007	-0.0015
-1.87249e-007	-0.0011875
-1.86749e-007	-0.002125
-1.86249e-007	-0.0018125
-1.85749e-007	-0.0011875
-1.85249e-007	-0.00025
-1.84749e-007	0.000375
-1.84249e-007	0.001
-1.83749e-007	0.00225
-1.83249e-007	0.0013125
-1.82749e-007	0.001
-1.82249e-007	0.001625
-1.81749e-007	0.001625
-1.81249e-007	0.0013125
-1.80749e-007	0.0006875
-1.80249e-007	-0.0005625
-1.79749e-007	-0.0005625
-1.79249e-007	-0.0011875
-1.78749e-007	-0.0015
-1.78249e-007	-0.0024375
-1.77749e-007	-0.002125
-1.77249e-007	-0.0015
-1.76749e-007	-0.0018125
-1.76249e-007	-0.0011875
-1.75749e-007	-0.0011875
-1.75249e-007	-0.000875
-1.74749e-007	6.25e-005
-1.74249e-007	0.000375
-1.73749e-007	0.001
-1.73249e-007	0.001625
-1.72749e-007	0.0019375
-1.72249e-007	0.0019375
-1.71749e-007	0.001
-1.71249e-007	0.0013125
-1.70749e-007	-0.00025
-1.70249e-007	6.25e-005
-1.69749e-007	0.0006875
-1.69249e-007	-0.0005625
-1.68749e-007	-0.0011875
-1.68249e-007	-0.0011875
-1.67749e-007	-0.0011875
-1.67249e-007	-0.000875
-1.66749e-007	-0.0018125
-1.66249e-007	-0.0015
-1.65749e-007	-0.0005625
-1.65249e-007	-0.0005625
-1.64749e-007	0.000375
-1.64249e-007	0.001
-1.63749e-007	0.001
-1.63249e-007	0.000375
-1.62749e-007	0.0013125
-1.62249e-007	0.001625
-1.61749e-007	0.000375
-1.61249e-007	0.001
-1.60749e-007	6.25e-005
-1.60249e-007	-0.000875
