LECROYWS454	16215	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	02-May-2024 19:33:29	0                 
Time	Ampl
-2.12164e-007	0.0013125
-2.11664e-007	0.0013125
-2.11164e-007	0.0013125
-2.10664e-007	0.000375
-2.10164e-007	6.25e-005
-2.09664e-007	-0.0011875
-2.09164e-007	-0.000875
-2.08664e-007	-0.0005625
-2.08164e-007	-0.0011875
-2.07664e-007	-0.0011875
-2.07164e-007	-0.0015
-2.06664e-007	-0.0018125
-2.06164e-007	-0.0011875
-2.05664e-007	-0.0005625
-2.05164e-007	0.0006875
-2.04664e-007	0.000375
-2.04164e-007	0.001
-2.03664e-007	0.001
-2.03164e-007	0.0013125
-2.02664e-007	0.0025625
-2.02164e-007	0.0013125
-2.01664e-007	0.0013125
-2.01164e-007	0.001
-2.00664e-007	6.25e-005
-2.00164e-007	-0.000875
-1.99664e-007	-0.0018125
-1.99164e-007	-0.000875
-1.98664e-007	-0.0011875
-1.98164e-007	-0.0030625
-1.97664e-007	-0.0018125
-1.97164e-007	-0.0018125
-1.96664e-007	-0.0011875
-1.96164e-007	-0.0005625
-1.95664e-007	6.25e-005
-1.95164e-007	0.0006875
-1.94664e-007	0.0006875
-1.94164e-007	0.001
-1.93664e-007	0.00225
-1.93164e-007	0.0025625
-1.92664e-007	0.0019375
-1.92164e-007	0.0006875
-1.91664e-007	0.001625
-1.91164e-007	0.0006875
-1.90664e-007	-0.00025
-1.90164e-007	-0.000875
-1.89664e-007	-0.0018125
-1.89164e-007	-0.0024375
-1.88664e-007	-0.002125
-1.88164e-007	-0.002125
-1.87664e-007	-0.002125
-1.87164e-007	-0.0018125
-1.86664e-007	-0.0005625
-1.86164e-007	0.000375
-1.85664e-007	0.000375
-1.85164e-007	0.0013125
-1.84664e-007	0.0013125
-1.84164e-007	0.0019375
-1.83664e-007	0.00225
-1.83164e-007	0.0025625
-1.82664e-007	0.001625
-1.82164e-007	0.0006875
-1.81664e-007	0.0006875
-1.81164e-007	0.0006875
-1.80664e-007	-0.0005625
-1.80164e-007	-0.000875
-1.79664e-007	-0.0018125
-1.79164e-007	-0.002125
-1.78664e-007	-0.0024375
-1.78164e-007	-0.0024375
-1.77664e-007	-0.0018125
-1.77164e-007	-0.0018125
-1.76664e-007	-0.000875
-1.76164e-007	6.25e-005
-1.75664e-007	0.001
-1.75164e-007	0.0019375
-1.74664e-007	0.0019375
-1.74164e-007	0.0019375
-1.73664e-007	0.0019375
-1.73164e-007	0.001
-1.72664e-007	0.001625
-1.72164e-007	0.0013125
-1.71664e-007	0.001
-1.71164e-007	0.000375
-1.70664e-007	-0.0005625
-1.70164e-007	-0.002125
-1.69664e-007	-0.002125
-1.69164e-007	-0.002125
-1.68664e-007	-0.002125
-1.68164e-007	-0.0018125
-1.67664e-007	-0.0005625
-1.67164e-007	-0.000875
-1.66664e-007	-0.0005625
-1.66164e-007	6.25e-005
-1.65664e-007	0.0013125
-1.65164e-007	0.0019375
-1.64664e-007	0.001625
-1.64164e-007	0.001625
-1.63664e-007	0.001
-1.63164e-007	0.0013125
-1.62664e-007	0.001
-1.62164e-007	0.0006875
-1.61664e-007	-0.00025
-1.61164e-007	-0.0005625
-1.60664e-007	-0.0005625
-1.60164e-007	-0.0011875
-1.59664e-007	-0.002125
-1.59164e-007	-0.0015
-1.58664e-007	-0.002125
-1.58164e-007	-0.0011875
-1.57664e-007	-0.0011875
-1.57164e-007	-0.000875
-1.56664e-007	0.000375
-1.56164e-007	0.0006875
-1.55664e-007	0.001625
-1.55164e-007	0.001625
-1.54664e-007	0.001625
-1.54164e-007	0.00225
-1.53664e-007	0.0019375
-1.53164e-007	0.001
-1.52664e-007	0.0006875
-1.52164e-007	6.25e-005
-1.51664e-007	0.000375
-1.51164e-007	-0.0011875
-1.50664e-007	-0.0011875
-1.50164e-007	-0.0015
-1.49664e-007	-0.0015
